wall_time,session_ms,code,kind,delta_x,delta_y
2026-06-20T19:14:28.5579044+02:00,32001.574,MOVE,MouseMove,1,1
2026-06-20T19:14:28.5593496+02:00,32003.019,MOVE,MouseMove,1,0
2026-06-20T19:14:28.5681244+02:00,32011.794,MOVE,MouseMove,1,3
2026-06-20T19:14:28.6283490+02:00,32072.018,MOVE,MouseMove,2,1
2026-06-20T19:14:28.6448546+02:00,32088.524,MOVE,MouseMove,1,0
2026-06-20T19:14:28.7088408+02:00,32152.51,MOVE,MouseMove,0,1
2026-06-20T19:14:28.7236546+02:00,32167.324,MOVE,MouseMove,1,0
2026-06-20T19:14:29.8912080+02:00,33334.877,M1,MouseDown,0,0
2026-06-20T19:14:29.9334562+02:00,33377.125,M1,MouseUp,0,0
2026-06-20T19:14:30.7712316+02:00,34214.901,M1,MouseDown,0,0
2026-06-20T19:14:30.8273712+02:00,34271.04,M1,MouseUp,0,0
